model,brand,ram,storage,price,processor,gpu,chipset,battery,battery_capacity,ram_storage_combo
nubia RedMagic 9 Pro,nubia,8,12,3049,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"6500 mAh battery80W wired, PD3.0, 100% in 35 min",6500.0,96
vivo Y27s,vivo,8,256,799,Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,Qualcomm SM6225 Snapdragon 680 4G (6 nm),"Li-Ion 5000 mAh, non-removable battery44W wired",5000.0,2048
Sony Xperia 5 V,Sony,8,256,3499,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 5000 mAh, non-removable battery30W wired, PD3.0, PPS, 50% in 30 min (advertised)
Wireless
Reverse wireless",5000.0,2048
Honor 100 Pro,Honor,12,16,1812,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 5000 mAh, non-removable battery100W wired, 50% in 10 min (advertised)
66W wireless, 100% in 42 min (advertised)
5W reverse wired
Reverse wireless",5000.0,192
Realme 11x,Realme,8,128,999,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6100+ (6 nm),"Li-Po 5000 mAh, non-removable battery33W wired, 1-50% in 29 min (advertised)",5000.0,1024
Redmi 13C,Redmi,6,128,227,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek MT6769Z Helio G85 (12nm),"Li-Po 5000 mAh, non-removable battery18W wired, PD",5000.0,768
Oppo A79,Oppo,8,256,859,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek MT6833V/ZA Dimensity 6020 (7 nm),"Li-Po 5000 mAh, non-removable battery33W wired, 51% in 30 min (advertised)",5000.0,2048
ZTE Blade V50 Design,ZTE,10,256,509,Octa-core (1x2.2 GHz Cortex-A76 & 3x Cortex-A76 & 4x Cortex-A55),Mali-G57,Unisoc T760 (6 nm),"Li-Po 4500 mAh, non-removable battery22.5W wired",4500.0,2560
realme C53,realme,8,256,569,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G57,Unisoc Tiger T612 (12 nm),"Li-Po 5000 mAh, non-removable battery33W wired, 50% in 31 min (advertised)",5000.0,2048
realme C53 (Variant 1),realme,8,256,569,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G57,Unisoc Tiger T612 (12 nm),"Li-Po 5000 mAh, non-removable battery33W wired, 50% in 31 min (advertised)",5000.0,2048
Poco C65,Poco,8,256,399,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek MT6769Z Helio G85 (12nm),"Li-Po 5000 mAh, non-removable battery18W wired",5000.0,2048
Poco C65 (Variant 1),Poco,8,256,399,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek MT6769Z Helio G85 (12nm),"Li-Po 5000 mAh, non-removable battery18W wired",5000.0,2048
HONOR X9b,HONOR,12,256,999,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),"Li-Po 5800 mAh, non-removable battery35W wired
Reverse wired",5800.0,3072
HONOR X9b (Variant 1),HONOR,12,512,1339,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),"Li-Po 5800 mAh, non-removable battery35W wired
Reverse wired",5800.0,6144
Xiaomi 14 Pro,Xiaomi,12,16,2503,Octa-core (1x3.3 GHz Cortex-X4 & 5x3.2 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"Li-Po 4880 mAh, non-removable battery120W wired, PD3.0, QC4, 100% in 18 min (advertised)
50W wireless, 100% in 40 min (advertised)
10W reverse wireless",4880.0,192
Infinix Smart 8,Infinix,3,4,329,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,Unisoc T606 (12 nm),"5000 mAh, non-removable battery10W wired
Reverse wired",5000.0,12
Oppo A18,Oppo,4,128,499,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek MT6769 Helio G85 (12nm),"Li-Po 5000 mAh, non-removable battery",5000.0,512
Oppo Find N3 Flip,Oppo,12,256,3999,Octa-core (1x3.05 GHz Cortex-X3 & 3x2.85 GHz Cortex-A715 & 4x1.80 GHz Cortex-A510),Immortalis-G715 MC11,Mediatek Dimensity 9200 (4 nm),"Li-Po 4300 mAh, non-removable battery44W wired, 50% in 23 min (advertised)
Reverse wired",4300.0,3072
Oppo Find N3,Oppo,16,512,3740,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 4805 mAh, non-removable battery67W wired, PD, 1-35% in 10 min
Reverse wired",4805.0,8192
Samsung Galaxy A05,Samsung,6,128,549,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek MT6769V/CZ Helio G85 (12nm),"Li-Po 5000 mAh, non-removable battery25W wired",5000.0,768
OnePlus Open,OnePlus,16,512,3850,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 4805 mAh, non-removable battery67W wired, PD, 1-100% in 42 min (advertised)
Reverse wired",4805.0,8192
Samsung Galaxy S23 FE,Samsung,8,128,1949,Octa-core (1x2.8 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510) - InternationalOcta-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510) - USA,Xclipse 920 - InternationalAdreno 730 - USA,Exynos 2200 (4 nm) - InternationalQualcomm SM8450 Snapdragon 8 Gen 1 (4 nm) - USA,"Li-Ion 4500 mAh, non-removable battery25W wired, PD2.0, 50% in 30 min
Wirless",4500.0,1024
Samsung Galaxy S23 FE (Variant 1),Samsung,8,256,2059,Octa-core (1x2.8 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510) - InternationalOcta-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510) - USA,Xclipse 920 - InternationalAdreno 730 - USA,Exynos 2200 (4 nm) - InternationalQualcomm SM8450 Snapdragon 8 Gen 1 (4 nm) - USA,"Li-Ion 4500 mAh, non-removable battery25W wired, PD2.0, 50% in 30 min
Wirless",4500.0,2048
Samsung Galaxy A05s,Samsung,6,128,509,Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,Qualcomm SM6225 Snapdragon 680 4G (6 nm),"Li-Po 5000 mAh, non-removable battery25W wired",5000.0,768
vivo Y17s,vivo,6,128,523,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek MT6769 Helio G85 (12nm),"Li-Po 5000 mAh, non-removable battery15W wired
Reverse wired",5000.0,768
TECNO Phantom V Flip,TECNO,8,256,2899,Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G77 MC9,Mediatek Dimensity 8050 (6 nm),"Li-Po 4000 mAh, non-removable battery45W wired, 50% in 15 min (advertised)",4000.0,2048
realme C51,realme,4,128,345,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G57,Unisoc Tiger T612 (12 nm),"Li-Po 5000 mAh, non-removable battery33W wired, 0-50% in 28 min (advertised)",5000.0,512
Xiaomi 13T Pro,Xiaomi,12,256,1799,Octa-core (1x3.35 GHz Cortex-X3 & 3x3.0 GHz Cortex-A715 & 4x2.0 GHz Cortex-A510),Immortalis-G715 MC11,Mediatek Dimensity 9200+ (4 nm),"Li-Po 5000 mAh, non-removable battery120W wired, PD3.0, QC4, 100% in 19 min (advertised)",5000.0,3072
Xiaomi 13T Pro (Variant 1),Xiaomi,12,512,1799,Octa-core (1x3.35 GHz Cortex-X3 & 3x3.0 GHz Cortex-A715 & 4x2.0 GHz Cortex-A510),Immortalis-G715 MC11,Mediatek Dimensity 9200+ (4 nm),"Li-Po 5000 mAh, non-removable battery120W wired, PD3.0, QC4, 100% in 19 min (advertised)",5000.0,6144
Xiaomi 13T Pro (Variant 2),Xiaomi,16,1024,2578,Octa-core (1x3.35 GHz Cortex-X3 & 3x3.0 GHz Cortex-A715 & 4x2.0 GHz Cortex-A510),Immortalis-G715 MC11,Mediatek Dimensity 9200+ (4 nm),"Li-Po 5000 mAh, non-removable battery120W wired, PD3.0, QC4, 100% in 19 min (advertised)",5000.0,16384
Xiaomi 13T,Xiaomi,8,256,1699,Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,Mediatek Dimensity 8200 Ultra (4 nm),"Li-Po 5000 mAh, non-removable battery67W wired, PD3.0, QC4, 100% in 42 min (advertised)",5000.0,2048
Xiaomi 13T (Variant 1),Xiaomi,12,256,1999,Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,Mediatek Dimensity 8200 Ultra (4 nm),"Li-Po 5000 mAh, non-removable battery67W wired, PD3.0, QC4, 100% in 42 min (advertised)",5000.0,3072
